magencyacro,magency,magencyname
UK,111,Unknown
DCLA,126,Department of Cultural Affairs
DHS,71,Department of Homeless Services
QBPL,39,Queens Public Library
DDC,850,Department of Design and Construction
NYPL,37,New York Public Library
UK,111,Unknown
NYPL,37,New York Public Library
DCLA,126,Department of Cultural Affairs
UK,111,Unknown
FDNY,57,Fire Department
SBS,801,Department of Small Business Services
UK,111,Unknown
UK,111,Unknown
SBS,801,Department of Small Business Services
SBS,801,Department of Small Business Services
DCLA,126,Department of Cultural Affairs
UK,111,Unknown
HPD,806,Department of Housing Preservation and Development
UK,111,Unknown
UK,111,Unknown
DEP,826,Department of Environmental Protection
DSNY,827,Department of Sanitation
FDNY,57,Fire Department
DOT,841,Department of Transportation
DDC,850,Department of Design and Construction
DPR,846,Department of Parks and Recreation
DPR,846,Department of Parks and Recreation
DOT,841,Department of Transportation
NYPD,56,Police Department
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DPR,846,Department of Parks and Recreation
DOT,841,Department of Transportation
DPR,846,Department of Parks and Recreation
FDNY,57,Fire Department
QBPL,39,Queens Public Library
DDC,850,Department of Design and Construction
UK,111,Unknown
DDC,850,Department of Design and Construction
ACS,68,Administration for Childrens Services
DOT,841,Department of Transportation
NYPD,56,Police Department
DCLA,126,Department of Cultural Affairs
UK,111,Unknown
DPR,846,Department of Parks and Recreation
UK,111,Unknown
FDNY,57,Fire Department
UK,111,Unknown
CUNY,42,City University of New York
DOE,40,Department of Education
CUNY,42,City University of New York
UK,96,Unknown
UK,111,Unknown
UK,111,Unknown
DFTA,125,Department for the Aging
SBS,801,Department of Small Business Services
FDNY,57,Fire Department
UK,111,Unknown
FDNY,57,Fire Department
CUNY,42,City University of New York
DOE,40,Department of Education
UK,111,Unknown
UK,111,Unknown
UK,111,Unknown
HHC,819,Health and Hospitals Corporation
DEP,826,Department of Environmental Protection
FDNY,57,Fire Department
NYPD,56,Police Department
CUNY,42,City University of New York
DDC,850,Department of Design and Construction
DHS,71,Department of Homeless Services
UK,111,Unknown
DCLA,126,Department of Cultural Affairs
UK,111,Unknown
NYPD,56,Police Department
UK,111,Unknown
DOT,841,Department of Transportation
NYPD,56,Police Department
DEP,826,Department of Environmental Protection
DSNY,827,Department of Sanitation
DOT,841,Department of Transportation
DOT,841,Department of Transportation
FDNY,57,Fire Department
DPR,846,Department of Parks and Recreation
DPR,846,Department of Parks and Recreation
DPR,846,Department of Parks and Recreation
DDC,850,Department of Design and Construction
EDC,998,Economic Development Corporation
QBPL,39,Queens Public Library
CUNY,42,City University of New York
DDC,850,Department of Design and Construction
DPR,846,Department of Parks and Recreation
DOE,40,Department of Education
UK,111,Unknown
UK,111,Unknown
DCLA,126,Department of Cultural Affairs
UK,111,Unknown
CUNY,42,City University of New York
FDNY,57,Fire Department
QBPL,39,Queens Public Library
QBPL,39,Queens Public Library
CUNY,42,City University of New York
CUNY,42,City University of New York
DOC,72,Department of Correction
DCLA,126,Department of Cultural Affairs
DCLA,126,Department of Cultural Affairs
UK,111,Unknown
SBS,801,Department of Small Business Services
SBS,801,Department of Small Business Services
UK,111,Unknown
NYPD,56,Police Department
SBS,801,Department of Small Business Services
DOHMH,816,Department of Health and Mental Hygiene
UK,111,Unknown
DSNY,827,Department of Sanitation
DEP,826,Department of Environmental Protection
UK,111,Unknown
DEP,826,Department of Environmental Protection
DOT,841,Department of Transportation
DOT,841,Department of Transportation
DOT,841,Department of Transportation
UK,111,Unknown
UK,111,Unknown
UK,96,Unknown
FDNY,57,Fire Department
FDNY,57,Fire Department
FDNY,57,Fire Department
FDNY,57,Fire Department
NYPL,37,New York Public Library
NYPL,37,New York Public Library
NYPL,37,New York Public Library
NYPL,37,New York Public Library
NYPL,37,New York Public Library
NYPL,37,New York Public Library
NYPL,37,New York Public Library
NYPL,37,New York Public Library
NYPL,37,New York Public Library
NYPL,37,New York Public Library
NYPL,37,New York Public Library
BPL,38,Brooklyn Public Library
BPL,38,Brooklyn Public Library
BPL,38,Brooklyn Public Library
BPL,38,Brooklyn Public Library
BPL,38,Brooklyn Public Library
BPL,38,Brooklyn Public Library
FDNY,57,Fire Department
BPL,38,Brooklyn Public Library
BPL,38,Brooklyn Public Library
BPL,38,Brooklyn Public Library
BPL,38,Brooklyn Public Library
BPL,38,Brooklyn Public Library
BPL,38,Brooklyn Public Library
BPL,38,Brooklyn Public Library
BPL,38,Brooklyn Public Library
BPL,38,Brooklyn Public Library
BPL,38,Brooklyn Public Library
BPL,38,Brooklyn Public Library
BPL,38,Brooklyn Public Library
QBPL,39,Queens Public Library
QBPL,39,Queens Public Library
QBPL,39,Queens Public Library
QBPL,39,Queens Public Library
QBPL,39,Queens Public Library
QBPL,39,Queens Public Library
QBPL,39,Queens Public Library
QBPL,39,Queens Public Library
QBPL,39,Queens Public Library
QBPL,39,Queens Public Library
QBPL,39,Queens Public Library
QBPL,39,Queens Public Library
QBPL,39,Queens Public Library
QBPL,39,Queens Public Library
QBPL,39,Queens Public Library
QBPL,39,Queens Public Library
QBPL,39,Queens Public Library
QBPL,39,Queens Public Library
DPR,846,Department of Parks and Recreation
QBPL,39,Queens Public Library
QBPL,39,Queens Public Library
QBPL,39,Queens Public Library
UK,111,Unknown
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
ACS,68,Administration for Childrens Services
ACS,68,Administration for Childrens Services
UK,111,Unknown
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DCAS,856,Department of Citywide Administrative Services
ACS,68,Administration for Childrens Services
ACS,68,Administration for Childrens Services
ACS,68,Administration for Childrens Services
ACS,68,Administration for Childrens Services
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
FDNY,57,Fire Department
DDC,850,Department of Design and Construction
DFTA,125,Department for the Aging
DOITT,858,Department of Information Technology and Telecommunications
CUNY,42,City University of New York
FDNY,57,Fire Department
UK,111,Unknown
UK,111,Unknown
UK,111,Unknown
DDC,850,Department of Design and Construction
UK,96,Unknown
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
UK,111,Unknown
DDC,850,Department of Design and Construction
NYPL,37,New York Public Library
NYPL,37,New York Public Library
UK,111,Unknown
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DCLA,126,Department of Cultural Affairs
NYRL,35,New York Research Libraries
UK,111,Unknown
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
ACS,68,Administration for Childrens Services
ACS,68,Administration for Childrens Services
UK,111,Unknown
DCLA,126,Department of Cultural Affairs
DPR,846,Department of Parks and Recreation
DDC,850,Department of Design and Construction
DOT,841,Department of Transportation
FDNY,57,Fire Department
DHS,71,Department of Homeless Services
UK,111,Unknown
DCLA,126,Department of Cultural Affairs
DPR,846,Department of Parks and Recreation
DPR,846,Department of Parks and Recreation
DCAS,856,Department of Citywide Administrative Services
DPR,846,Department of Parks and Recreation
DDC,850,Department of Design and Construction
DCLA,126,Department of Cultural Affairs
DCLA,126,Department of Cultural Affairs
DPR,846,Department of Parks and Recreation
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DPR,846,Department of Parks and Recreation
DPR,846,Department of Parks and Recreation
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
FDNY,57,Fire Department
UK,111,Unknown
DCLA,126,Department of Cultural Affairs
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DPR,846,Department of Parks and Recreation
DPR,846,Department of Parks and Recreation
DPR,846,Department of Parks and Recreation
DPR,846,Department of Parks and Recreation
DPR,846,Department of Parks and Recreation
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DCAS,856,Department of Citywide Administrative Services
DCAS,856,Department of Citywide Administrative Services
FDNY,57,Fire Department
FDNY,57,Fire Department
FDNY,57,Fire Department
FDNY,57,Fire Department
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
CUNY,42,City University of New York
CUNY,42,City University of New York
CUNY,42,City University of New York
FDNY,57,Fire Department
DDC,850,Department of Design and Construction
NYPL,37,New York Public Library
NYPL,37,New York Public Library
NYPL,37,New York Public Library
FDNY,57,Fire Department
UK,111,Unknown
UK,111,Unknown
UK,111,Unknown
UK,111,Unknown
UK,111,Unknown
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
SBS,801,Department of Small Business Services
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
CUNY,42,City University of New York
CUNY,42,City University of New York
DOC,72,Department of Correction
DOC,72,Department of Correction
DOC,72,Department of Correction
DOC,72,Department of Correction
DOC,72,Department of Correction
DOC,72,Department of Correction
DHS,71,Department of Homeless Services
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DOT,841,Department of Transportation
UK,111,Unknown
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
DDC,850,Department of Design and Construction
